NKT,NKTscore,P,Pscore,Q,Qscore,S,Sscore,W,Wscore,kode_lelang,nama_paket,score,tahun_anggaran
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,7751027,"Pengadaan Kendaraan Bermotor Roda 2 (Dua) untuk diserahkan kepada 3 Pilar Plus (Aparatur Pemerintahan Desa, Tokoh Masyarakat, Babinsa dan Babin Kamtibmas) dan Pendistribusiannya",0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,6775333,Pengadaan dan Pemasangan Mekanikal Elektrikal serta Sistem Distribusi di IPA Bojongrenged,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,3326181,Pengelolaan Tenaga Keamanan,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,1138405,Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,3343364,Pengawasan Pembangunan Jaringan Listrik di Kecamatan Kaubun,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,14160106,Belanja Premi Asuransi Kendaraan Pool Operasional,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,6037034,Pengadaan Meter Air Induk,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,4081029,Pengadaan Jasa Pengamanan Kampus Kantor Pusat Universitas Diponegoro tahun 2018,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,16820047,"Pengadaan Bahan Makanan Pasien Kelas I, VIP dan Kelas Utama RS Dr H Marzoeki Mahdi Bogor",0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,3278364,Pembangunan Arena Menembak Sangatta,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,7720252,Lanjutan Pembangunan Bangunan Blok Hunian,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,4108212,"Pengadaan Benih Karet Siap Tanam, Pupuk, Fungisida, Herbisida, Knapsack sprayer di Kabupaten Indragiri Hilir",0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,967618,Pengadaan Mebeleur Kantor,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,923390,Belanja kendaraan dinas roda 4 ( empat ) segala medan,0.25,2017
2,0.15,5,0.0,0,0.05,5,0.0,4,0.0,6655288,Pembangunan Talud Penahan Tanah Kota Ambon,0.2,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,2169316,Biaya Jasa Outsourching (Keamanan),0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,492262,"Pekerjaan Cleaning Service dan Pemeliharaan Taman, Halaman, Jalan, dan Drainage Perpustakaan Kampus A, B, dan C Universitas Airlangga Tahun Anggaran 2018",0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,1001190,"Pengadaan Gula, Teh dan Kopi TA 2018",0.4,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,276490,Pembangunan Foodcourt Terpadu CSR BRI Universitas Lampung,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,12694015,PENGADAAN ALAT-ALAT BENGKEL PERALATAN DANA ALOKASI KHUSUS (DAK) SMK NEGERI (PAKET 1),0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,6034034,Konsultan Pengawas Pembangunan Gedung Dan Lansekap Kantor Pusat PDAM Tirta Asasta Kota Depok,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1001303,Pengadaan Jasa Kebersihan Universitas Gajah Mada,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,487262,"Pekerjaan Cleaning Service dan Pemeliharaan Taman, Halaman, Jalan, dan Drainage Fakultas Ilmu Sosial dan Ilmu Politik Universitas Airlangga Tahun Anggaran 2018",0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,4085029,Pelayanan Jasa Keamanan Lingkungan Kampus Fakultas Teknik Undip Tahun 2018,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,4117212,Pemeliharaan halaman gedung/bangunan kantor,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,762621,Pengadaan Genset Kapasitas 120 KVA (1 unit) dan 40 KVA (1 Unit) APBDP,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,6832109,Pemeliharan perangkat Data Center,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,12147170,Pengadaan Hardware Pendukung e-Government Kementerian Agama Tahun Anggaran 2017,0.25,2017
1,0.2,5,0.0,0,0.05,1,0.2,4,0.0,18782047,Pengadaan Notebook,0.45,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1002190,Pembangunan Sarana dan Prasarana Pendukung Perkuliahan Program Pendidikan Vokasi UI,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,6770333,Pekerjaan Pemeliharaan Kebersihan Ruangan Kantor/Cleaning Service pada PDAM Tirta Kerta Raharja Kabupaten Tangerang Tahun 2018,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,2531339,Belanja Jasa Pengamanan Kantor (Lelang Pra-DPA),0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,500262,"Pekerjaan Cleaning Service dan Pemeliharaan Taman, Halaman, Jalan, dan Drainage Fakultas Ekonomi dan Bisnis Universitas Airlangga Tahun Anggaran 2018",0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,3193555,Sewa Mesin Fotocopy T.A 2018,0.4,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,1274493,"Belanja Modal Pengadaan Server, Rak Server,Ups dan Jaringan Aplikasi ULP",0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,7048044,PEMELIHARAAN TAMAN TA 2018,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,6821109,Perangkat Komputer,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,1757056,Pengadaan Jaringan CCTV,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,7029044,ULP JAGA KAWAL 2018,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,496262,"Pemeliharaan Taman, Halaman, Jalan, dan Drainage Kampus B Universitas Airlangga Tahun Anggaran 2018",0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1011273,Pekerjaan Lelang Jasa Kebersihan Paket 1 Universitas Negeri Jakarta Tahun 2018,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,8167252,Pengadaan Peralatan Rumah Dinas Dirjen AHU,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,41216114,Pengelolaan dan Perawatan Gedung DKPPU (Keamanan dan Cleaning Service),0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,490262,Pekerjaan Cleaning Service Fakultas Kedokteran Universitas Airlangga Tahun Anggaran 2018,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1810418,Peningkatan Jalan Ciseureuh - Arca,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,6774333,Pembangunan Jembatan Masuk IPA Bojongrenged Cabang Teluknaga,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1261299,Pengadaan Video Wall dan Kelengkapanya,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,4825119,Pengadaan Water Meter Dia 15 mm 2017,0.4,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,924390,Belanja Jasa Kantor,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,7732027,Pembuatan dan Pemasangan Rambu-rambu kebencanaan,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,7747027,"Belanja yang akan diserahkan kepada masyarakat Belanja Bibit dan Pakan  Kabupaten Labuhan Batu, Kab. Labuhan Batu Selatan, Kab. Labuhan Batu Utara",0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,491262,"Pekerjaan Cleaning Service dan Pemeliharaan Taman, Halaman, Jalan, dan Drainage Fakultas Perikanan dan Kelautan Universitas Airlangga Tahun Anggaran 2018",0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,3396361,Pembangunan Sarana Prasarana SMP Unggulan 1 (Paket 2),0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,2171316,Biaya Jasa Outsourching  (Kebersihan),0.4,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,18864047,Pengadaan Alat Kesehatan Ambulans Gawat Darurat,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,4097029,Pelayanan Jasa Parkir Lingkungan Kampus Fakultas Teknik Undip Tahun 2018,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1910116,Belanja modal pengadaan alat-alat angkutan darat bermotor roda 4,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,12689015,"Pengadaan Mesin Gilas 1,5 Ton",0.4,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,5136359,Pengadaan Sarana dan Prasarana Ruang Rapat,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,4105212,"Pengadaan Benih Karet Siap Tanam, Pupuk, Fungisida, Knapsack sprayer, Herbisida di Kabupaten Bengkalis",0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,12702015,Pengadaan Trichoderma,0.25,2017
1,0.2,5,0.0,0,0.05,1,0.2,4,0.0,3010267,"Inventarisasi Kepemilikan Lahan (IPL) Kab. Bengkulu Selatan Lokasi Kebon Jati, Mala&#039;o dan Lawang Agung",0.45,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,33684014,Pengadaan Videowall,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,3395361,Pembangunan Sarana Prasarana SMP Unggulan 1 (Paket 1),0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,2414274,Pembangunan Tanggul Penahan Banjir Desa Padang manis,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,587279,Pengadaan Laptop,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,14151106,Jasa Cleaning Service Pada RSUD dr. Zainoel Abidin,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,7749027,Bantuan Sarana Kecelakaan Bagi KPUM,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,2104264,Rehabilitasi dan Rekonstruksi Penahan Ombak Pantai Desa Api - Api Kecamatan Waru,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1477489,Jasa Konsultansi Pembangunan Jalan Simpang Polaga - KM.37,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,499262,"Pekerjaan Cleaning Service dan Pemeliharaan Taman, Halaman, Jalan, dan Drainage Rumah Sakit Khusus Infeksi (RSKI) Universitas Airlangga Tahun Anggaran 2018",0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,7724252,Lanjutan Pembangunan Bangunan Kantor Teknis,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,14152106,Jasa Cleaning Service pada Ruang Rawat Inap Gedung Baru RSUD dr. Zainoel Abidin,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,498262,"Pekerjaan Cleaning Service dan Pemeliharaan Taman, Halaman, Jalan, dan Drainage Rumah Sakit Universitas Airlangga Tahun Anggaran 2018",0.25,2017
1,0.2,5,0.0,0,0.05,1,0.2,4,0.0,41207114,Pekerjaan Pengawasan 1 Paket (Lelang Tidak Mengikat),0.45,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,7748027,"Belanja yang akan diserahkan kepada masyarakat Belanja Bibit dan Pakan Kab. Mandailing Natal, Kab. Padang Lawas, Kab. Padang Lawas Utara, Kota Padang Sidempuan, Kab. Tapanuli Selatan, Kota Tebing Tinggi",0.25,2017
1,0.2,5,0.0,0,0.05,1,0.2,4,0.0,3009267,"Inventarisasi Kepemilikan Lahan (IPL) Kab. Bengkulu Tengah Lokasi Sekayun, Taba Finah dan Air Sebelah",0.45,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,494262,"Cleaning Service dan Pemeliharaan Taman, Halaman, Jalan, dan Drainage Fakultas Sains dan Teknologi Universitas Airlangga Tahun Anggaran 2018",0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,6915218,Pengadaan Peralatan Tambahan Feedbarge,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,2166316,BELANJA JASA KEAMANAN,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,33497127,Penyediaan Peralatan Rumah Tangga,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,2314638,Pengadaan Alat-alat Kesehatan,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,1138682,Belanja modal pengadaan penyekat ruangan,0.4,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,999303,"Perbaikan Ruang KMTEI, Gudang dan Garasi/carport DTETI FT UGM",0.4,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,1897157,Belanja Premi Asuransi Kendaraan Dinas Milik Daerah,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1129343,Bangunan Pengamanan Sungai Selabung Desa Sukabanjar Kecamatan Muaradua,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1307068,Pengadaan Peralatan Pendukung Laboratorium Terintegrasi,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,2311638,Pengadaan Alat- alat Kesehatan Rumah Sakit Tk II 04.05.01 dr. Soedjono Magelang,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,3020019,Belanja Modal Shoftwere Aplikasi GIS System Command Center,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,4114212,Cleaning Service,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,2530339,Belanja Jasa Kebersihan Kantor (Lelang Pra-DPA),0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,7746027,Belanja Premi Asuransi Barang Milik Daerah,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,495262,"Pemeliharaan Taman, Halaman, Jalan, dan Drainage Kampus C Universitas Airlangga Tahun Anggaran 2018",0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,2146305,Pengadaan Kendaraan Dinas/Operasional,0.25,2017
1,0.2,5,0.0,0,0.05,1,0.2,4,0.0,2171200,Pembangunan Air Bersih Perdesaan Pokmas Masodo Desa Sumberjati Kecamatan Silo,0.45,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,33699014,Pengadaan Penyedia Jasa Pengoperasian Instalasi Air Baku Menjadi Air Bersih untuk keperluan Universitas Pendidikan Indonesia (UPI) Tahun Anggaran 2018,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,7122022,Belanja Modal Pengadaan Mesin Speed Boat,0.4,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,999190,Pembangunan Kantin Mahasiswa Salemba,0.4,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,484262,"Pekerjaan Cleaning Service dan Pemeliharaan Taman, Halaman, Jalan, dan Drainage Lembaga Penyakit tropis (LPT) Universitas Airlangga Tahun Anggaran 2018",0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,8095252,Pengadaan Perangkat Jaringan Antar Rack DC3,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,486262,"Pekerjaan Cleaning Service dan Pemeliharaan Taman, Halaman, Jalan, dan Drainage Fakultas Hukum Universitas Airlangga Tahun Anggaran 2018",0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,1136405,Belanja bahan pecah belah Rujab KDH,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1930032,Pengadaan Jaminan Asuransi Gedung Bangunan dan Kendaraan Dinas Pemerintah Kabupaten Semarang,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1128343,Bangunan Pengamanan Sungai Saka Desa Madura Kecamatan Buay Sandang Aji,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,3331181,Pengadaan Peralatan Komputer Unit/Jaringan (DAK),0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,6769333,"Pekerjaan Perawatan, Pemeliharaan Taman dan Kebersihan Halaman/Gardening pada PDAM Tirta Kerta Raharja Kabupaten Tangerang Tahun 2018",0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,3328181,Distribusi PMT Ibu Hamil KEK (10.600 Bumil KEK x 9 Kg),0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,6797333,Pekerjaan Pemasangan Chamber Water Meter Dia. 300 MM dan Dia. 400 MM Lokasi Booster Pump Wilayah Pelayanan III,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,333653,Renovasi Gedung A TA. 2018,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,4076029,Pengadaan Pekerjaan Housekeeping Gedung   Bulan Januari s/d Desember 2018 Di Rumah Sakit Nasional Diponegoro,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,41184114,Pengadaan dan Pemasangan Conveyor Linier  Checkin dan Kedatangan 1 Paket,0.25,2017
1,0.2,5,0.0,0,0.05,1,0.2,4,0.0,3846173,Pengukuran dan Pemasangan Tanda Batas UPT di UPT Wioi Kab. Minahasa Tenggara,0.45,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,590279,Pengadaan Generator Set,0.4,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,8303252,Pengadaan Perangkat pengolah Data dan Komunikasi,0.4,2017
1,0.2,5,0.0,0,0.05,1,0.2,4,0.0,26348064,Konsultan Review DED Kab. Tana Tidung,0.45,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,960358,Belanja Bantuan Sosial Barang Yang Diserahkan Kepada Pihak Ketiga (PB dan PK Perumahan Swadaya Yang Bersumber Dari Dana APBD),0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,2148305,Pengadaan Kendaraan Dinas/Operasional,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,2707423,Pengadaan Smartphone DAK,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,4113212,Pengadaaan Konsumsi Mahasiswa STPP Malang Semester I Tahun 2018,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,5141359,Pengadaan Formulir Pemutakhiran Data Pemilih KPU Kota Bekasi Kegiatan Penyelenggaraan Pemilihan Gubernur dan Wakil Gubernur Jawa Barat Serta Walikota dan Wakil Walikota Bekasi Tahun 2018,0.4,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,2537232,Pemberangkatan Umroh,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,4653260,Belanja Pengadaan Kebutuhan Personel Peserta Didik RMP (Seragam SMP Negeri),0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,7037044,PENGADAAN MAKANAN LANJUTAN DIKTUK BA TA. 2017/2018,0.25,2017
1,0.2,5,0.0,0,0.05,1,0.2,4,0.0,3847173,Pengukuran dan Pemasangan Tanda Batas UPT di UPT Liandok SP.3 Kab. Minahasa Selatan,0.45,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,3335364,Pembangunan Embung Desa Rantau Makmur SP. 4 Kec. Rantau Pulung (Multy Years),0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,5137359,Pengadaan Personal Komputer,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,4654260,Belanja Pengadaan Kebutuhan Personel Peserta Didik RMP (Seragam SD),0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,2172316,Pengadaan Kursi Tribun,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,2058304,Pengadaan Rapot SD dan Rapot SMP,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,504262,"Pemeliharaan Taman, Halaman, Jalan, dan Drainage Kampus A Universitas Airlangga Tahun Anggaran 2018",0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,3342364,Pembangunan Jembatan Sangatta Selatan,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,6768333,Pekerjaan Pengadaan Jasa Pengamanan (Satpam) pada  PDAM Tirta Kerta Raharja Kabupaten Tangerang Periode Tahun 2018,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1463323,Pengadaan Bahan Makanan Penerima Manfaat BBRSBG Kartini Temanggung Semester I Tahun Anggaran 2018,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,3327181,"Distribusi PMT Balita (10.800 Balita x 10,8 Kg)",0.4,2017
1,0.2,5,0.0,0,0.05,1,0.2,4,0.0,3008267,Inventarisasi Kepemilikan Lahan (IPL) Kab.Seluma Lokasi Simpur Hijau dan UPT. Ulu Talo SP.1,0.45,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,1930304,Jasa Pembuatan Aplikasi e-Government,0.4,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,585279,Pengadaan LCD Proyektor,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,6412103,Pengadaan Sistem Absen Finger Print Terpadu,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1187526,Pengadaan Kendaraan Dinas Roda 4 KDH,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1332068,pekerjaan pengembangan lahan pegaraman IV gersik putih sumenep PT GARAM (Persero),0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,889595,Pengawasan Teknis Gedung Kantor Dinas Pekerjaan Umum (PU),0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,14155106,Gas Medis,0.25,2017
